scheduler,load_level,arrival_rate,num_jobs,avg_jct_s,median_jct_s,p95_jct_s,p99_jct_s,avg_wait_s,makespan_s,throughput,avg_gpu_util_pct,avg_queue_depth,max_queue_depth
FIFO,light,0.1,7500,60.53,54.668,129.905,179.796,0.0,73902.004,0.10149,31.329,0.0,1
FIFO,moderate,0.25,7500,60.532,54.668,129.905,179.796,0.002,29631.026,0.25311,53.47,0.001,2
FIFO,heavy,0.5,7500,65.433,58.605,139.103,187.159,4.903,14909.688,0.50303,61.076,2.465,43
FIFO,extreme,1.0,7500,2736.53,2710.278,5227.072,5426.749,2676.0,12939.593,0.57962,63.558,1550.765,3171
SJF,light,0.1,7500,60.53,54.668,129.905,179.796,0.0,73902.004,0.10149,31.329,0.0,1
SJF,moderate,0.25,7500,60.532,54.668,129.905,179.796,0.001,29631.026,0.25311,53.469,0.0,2
SJF,heavy,0.5,7500,62.411,55.246,138.055,193.382,1.881,14909.688,0.50303,60.302,0.946,18
SJF,extreme,1.0,7500,857.136,58.021,6627.925,9507.676,796.606,12560.973,0.59709,66.513,475.552,1075
RL-PPO,light,0.1,7500,60.53,54.668,129.905,179.796,0.0,73902.004,0.10149,31.329,0.0,1
RL-PPO,moderate,0.25,7500,60.532,54.668,129.905,179.796,0.001,29631.026,0.25311,53.469,0.0,2
RL-PPO,heavy,0.5,7500,62.445,55.465,135.638,189.682,1.914,14909.688,0.50303,60.755,0.963,19
RL-PPO,extreme,1.0,7500,1347.982,765.38,4251.948,5434.371,1287.451,12050.455,0.62238,66.891,801.128,1790
